Asset,Maximum Capability,Total Net Generation,Year,Month,Day,Hour,Minute
Summerview 1 (IEW1),66,3,2015,4,9,13,15
Summerview 2 (IEW2),66,5,2015,4,9,13,15
Suncor Chin Chute (SCR3),30,2,2015,4,9,13,15
Suncor Magrath (SCR2),30,2,2015,4,9,13,15
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,15
Ardenville Wind (ARD1),68,1,2015,4,9,13,16
Blackspring Ridge (BSR1),300,0,2015,4,9,13,16
Blue Trail Wind (BTR1),66,0,2015,4,9,13,16
Castle River #1 (CR1),39,0,2015,4,9,13,16
Castle Rock Wind Farm (CRR1),77,6,2015,4,9,13,16
Cowley Ridge (CRW1),38,1,2015,4,9,13,16
Enmax Taber (TAB1),81,5,2015,4,9,13,16
Ghost Pine (NEP1),82,0,2015,4,9,13,16
Halkirk Wind Power Facility (HAL1),150,1,2015,4,9,13,16
Kettles Hill (KHW1),63,4,2015,4,9,13,16
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,16
Oldman 2 Wind Farm 1 (OWF1),46,8,2015,4,9,13,16
Soderglen Wind  (GWW1),71,7,2015,4,9,13,16
Summerview 1 (IEW1),66,2,2015,4,9,13,16
Summerview 2 (IEW2),66,5,2015,4,9,13,16
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,16
Suncor Magrath (SCR2),30,2,2015,4,9,13,16
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,16
Ardenville Wind (ARD1),68,1,2015,4,9,13,17
Blackspring Ridge (BSR1),300,1,2015,4,9,13,17
Blue Trail Wind (BTR1),66,0,2015,4,9,13,17
Castle River #1 (CR1),39,0,2015,4,9,13,17
Castle Rock Wind Farm (CRR1),77,6,2015,4,9,13,17
Cowley Ridge (CRW1),38,1,2015,4,9,13,17
Enmax Taber (TAB1),81,5,2015,4,9,13,17
Ghost Pine (NEP1),82,0,2015,4,9,13,17
Halkirk Wind Power Facility (HAL1),150,1,2015,4,9,13,17
Kettles Hill (KHW1),63,3,2015,4,9,13,17
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,17
Oldman 2 Wind Farm 1 (OWF1),46,7,2015,4,9,13,17
Soderglen Wind  (GWW1),71,8,2015,4,9,13,17
Summerview 1 (IEW1),66,1,2015,4,9,13,17
Summerview 2 (IEW2),66,5,2015,4,9,13,17
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,17
Suncor Magrath (SCR2),30,2,2015,4,9,13,17
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,17
Ardenville Wind (ARD1),68,2,2015,4,9,13,18
Blackspring Ridge (BSR1),300,0,2015,4,9,13,18
Blue Trail Wind (BTR1),66,0,2015,4,9,13,18
Castle River #1 (CR1),39,0,2015,4,9,13,18
Castle Rock Wind Farm (CRR1),77,4,2015,4,9,13,18
Cowley Ridge (CRW1),38,1,2015,4,9,13,18
Enmax Taber (TAB1),81,4,2015,4,9,13,18
Ghost Pine (NEP1),82,0,2015,4,9,13,18
Halkirk Wind Power Facility (HAL1),150,1,2015,4,9,13,18
Kettles Hill (KHW1),63,3,2015,4,9,13,18
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,18
Oldman 2 Wind Farm 1 (OWF1),46,6,2015,4,9,13,18
Soderglen Wind  (GWW1),71,8,2015,4,9,13,18
Summerview 1 (IEW1),66,3,2015,4,9,13,18
Summerview 2 (IEW2),66,4,2015,4,9,13,18
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,18
Suncor Magrath (SCR2),30,2,2015,4,9,13,18
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,18
Ardenville Wind (ARD1),68,2,2015,4,9,13,19
Blackspring Ridge (BSR1),300,0,2015,4,9,13,19
Blue Trail Wind (BTR1),66,0,2015,4,9,13,19
Castle River #1 (CR1),39,0,2015,4,9,13,19
Castle Rock Wind Farm (CRR1),77,4,2015,4,9,13,19
Cowley Ridge (CRW1),38,0,2015,4,9,13,19
Enmax Taber (TAB1),81,4,2015,4,9,13,19
Ghost Pine (NEP1),82,0,2015,4,9,13,19
Halkirk Wind Power Facility (HAL1),150,1,2015,4,9,13,19
Kettles Hill (KHW1),63,0,2015,4,9,13,19
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,19
Oldman 2 Wind Farm 1 (OWF1),46,8,2015,4,9,13,19
Soderglen Wind  (GWW1),71,9,2015,4,9,13,19
Summerview 1 (IEW1),66,2,2015,4,9,13,19
Summerview 2 (IEW2),66,3,2015,4,9,13,19
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,19
Suncor Magrath (SCR2),30,2,2015,4,9,13,19
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,19
Ardenville Wind (ARD1),68,2,2015,4,9,13,20
Blackspring Ridge (BSR1),300,0,2015,4,9,13,20
Blue Trail Wind (BTR1),66,0,2015,4,9,13,20
Castle River #1 (CR1),39,0,2015,4,9,13,20
Castle Rock Wind Farm (CRR1),77,5,2015,4,9,13,20
Cowley Ridge (CRW1),38,0,2015,4,9,13,20
Enmax Taber (TAB1),81,3,2015,4,9,13,20
Ghost Pine (NEP1),82,0,2015,4,9,13,20
Halkirk Wind Power Facility (HAL1),150,1,2015,4,9,13,20
Kettles Hill (KHW1),63,0,2015,4,9,13,20
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,20
Oldman 2 Wind Farm 1 (OWF1),46,9,2015,4,9,13,20
Soderglen Wind  (GWW1),71,8,2015,4,9,13,20
Summerview 1 (IEW1),66,2,2015,4,9,13,20
Summerview 2 (IEW2),66,5,2015,4,9,13,20
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,20
Suncor Magrath (SCR2),30,2,2015,4,9,13,20
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,20
Ardenville Wind (ARD1),68,1,2015,4,9,13,21
Blackspring Ridge (BSR1),300,1,2015,4,9,13,21
Blue Trail Wind (BTR1),66,0,2015,4,9,13,21
Castle River #1 (CR1),39,0,2015,4,9,13,21
Castle Rock Wind Farm (CRR1),77,5,2015,4,9,13,21
Cowley Ridge (CRW1),38,0,2015,4,9,13,21
Enmax Taber (TAB1),81,3,2015,4,9,13,21
Ghost Pine (NEP1),82,0,2015,4,9,13,21
Halkirk Wind Power Facility (HAL1),150,1,2015,4,9,13,21
Kettles Hill (KHW1),63,0,2015,4,9,13,21
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,21
Oldman 2 Wind Farm 1 (OWF1),46,10,2015,4,9,13,21
Soderglen Wind  (GWW1),71,8,2015,4,9,13,21
Summerview 1 (IEW1),66,2,2015,4,9,13,21
Summerview 2 (IEW2),66,5,2015,4,9,13,21
Suncor Chin Chute (SCR3),30,0,2015,4,9,13,21
Suncor Magrath (SCR2),30,2,2015,4,9,13,21
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,21
Ardenville Wind (ARD1),68,2,2015,4,9,13,22
Blackspring Ridge (BSR1),300,0,2015,4,9,13,22
Blue Trail Wind (BTR1),66,0,2015,4,9,13,22
Castle River #1 (CR1),39,0,2015,4,9,13,22
Castle Rock Wind Farm (CRR1),77,5,2015,4,9,13,22
Cowley Ridge (CRW1),38,0,2015,4,9,13,22
Enmax Taber (TAB1),81,3,2015,4,9,13,22
Ghost Pine (NEP1),82,0,2015,4,9,13,22
Halkirk Wind Power Facility (HAL1),150,1,2015,4,9,13,22
Kettles Hill (KHW1),63,0,2015,4,9,13,22
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,22
Oldman 2 Wind Farm 1 (OWF1),46,9,2015,4,9,13,22
Soderglen Wind  (GWW1),71,8,2015,4,9,13,22
Summerview 1 (IEW1),66,2,2015,4,9,13,22
Summerview 2 (IEW2),66,5,2015,4,9,13,22
Suncor Chin Chute (SCR3),30,0,2015,4,9,13,22
Suncor Magrath (SCR2),30,2,2015,4,9,13,22
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,22
Ardenville Wind (ARD1),68,1,2015,4,9,13,23
Blackspring Ridge (BSR1),300,0,2015,4,9,13,23
Blue Trail Wind (BTR1),66,0,2015,4,9,13,23
Castle River #1 (CR1),39,0,2015,4,9,13,23
Castle Rock Wind Farm (CRR1),77,4,2015,4,9,13,23
Cowley Ridge (CRW1),38,0,2015,4,9,13,23
Enmax Taber (TAB1),81,3,2015,4,9,13,23
Ghost Pine (NEP1),82,0,2015,4,9,13,23
Halkirk Wind Power Facility (HAL1),150,1,2015,4,9,13,23
Kettles Hill (KHW1),63,0,2015,4,9,13,23
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,23
Oldman 2 Wind Farm 1 (OWF1),46,8,2015,4,9,13,23
Soderglen Wind  (GWW1),71,8,2015,4,9,13,23
Summerview 1 (IEW1),66,2,2015,4,9,13,23
Summerview 2 (IEW2),66,5,2015,4,9,13,23
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,23
Suncor Magrath (SCR2),30,2,2015,4,9,13,23
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,23
Ardenville Wind (ARD1),68,2,2015,4,9,13,24
Blackspring Ridge (BSR1),300,0,2015,4,9,13,24
Blue Trail Wind (BTR1),66,0,2015,4,9,13,24
Castle River #1 (CR1),39,0,2015,4,9,13,24
